Setting,Model,Train Reward Mean,Train Reward Std,Success Mean,Success Std,Planner Usage %,Intrinsic Spikes,Reward p-value,Success p-value,Significance
baseline,PPO Only,-16.074882368328655,4.762768189896954,0.175,0.14785127662620975,0.0,0.0,,,
baseline,PPO + ICM,-15.606121950957,4.557662766201813,0.18600000000000003,0.16508785539826967,0.0,0.0,0.1520170976755348,0.3553934030673736,
baseline,PPO + ICM + Planner,-12.971448996006368,3.1665249513571037,0.315,0.19125898671696448,7.203958666731587,0.0,0.026118050351533282,0.12183457461550212,*
baseline,PPO + count,-15.843362266873243,4.595252842988369,0.19,0.11949895397031725,0.0,28.6,0.6206914219350237,0.46907829432063025,
baseline,PPO + RND,-15.617646107552162,4.331842394034845,0.15899999999999997,0.1388668426947196,0.0,33.0,0.5210903106305576,0.35416429843623065,
baseline,PPO + PC,-15.790014988621062,4.831219814220429,0.177,0.15038616957685969,0.0,35.0,0.46099674019796033,0.8074266613969098,
no_icm,PPO Only,-16.074882368328655,4.762768189896954,0.175,0.14785127662620975,0.0,0.0,,,
no_icm,PPO + ICM,,,,,,0.0,,,
no_icm,PPO + ICM + Planner,,,,,,0.0,,,
no_icm,PPO + count,-15.8901655620503,4.423793286576646,0.16099999999999998,0.1246755790040696,0.0,28.6,0.611986932992675,0.38972525298751926,
no_icm,PPO + RND,-15.114405339516987,4.72145174243811,0.179,0.16353592877407705,0.0,27.8,0.14378038161315637,0.700333018047551,
no_icm,PPO + PC,-15.58659257227745,4.496667089219646,0.179,0.1603558542741736,0.0,38.0,0.3584870810735545,0.8355226859977896,
no_rnd,PPO Only,-16.074882368328655,4.762768189896954,0.175,0.14785127662620975,0.0,0.0,,,
no_rnd,PPO + ICM,-15.606121950957,4.557662766201813,0.18600000000000003,0.16508785539826967,0.0,0.0,0.1520170976755348,0.3553934030673736,
no_rnd,PPO + ICM + Planner,-12.971448996006368,3.1665249513571037,0.315,0.19125898671696448,7.203958666731587,0.0,0.026118050351533282,0.12183457461550212,*
no_rnd,PPO + count,-15.843362266873243,4.595252842988369,0.19,0.11949895397031725,0.0,28.6,0.6206914219350237,0.46907829432063025,
no_rnd,PPO + RND,,,,,,0.0,,,
no_rnd,PPO + PC,-15.790014988621062,4.831219814220429,0.177,0.15038616957685969,0.0,35.0,0.46099674019796033,0.8074266613969098,
no_planner,PPO Only,-16.074882368328655,4.762768189896954,0.175,0.14785127662620975,0.0,0.0,,,
no_planner,PPO + ICM,-15.606121950957,4.557662766201813,0.18600000000000003,0.16508785539826967,0.0,0.0,0.1520170976755348,0.3553934030673736,
no_planner,PPO + ICM + Planner,,,,,,0.0,,,
no_planner,PPO + count,-15.740552201190587,4.081303652735043,0.173,0.13923361663046752,0.0,27.8,0.5859050522001649,0.7174283599144875,
no_planner,PPO + RND,-15.9531107087495,4.553151805866063,0.186,0.15444740205001833,0.0,30.4,0.6779399588555398,0.08581037844004435,
no_planner,PPO + PC,-15.790014988621062,4.831219814220429,0.177,0.15038616957685969,0.0,35.0,0.46099674019796033,0.8074266613969098,
